Season,Name,Team,Age,G,GS,ADJ_GS,IP,ADJ_IP,Pitches,W,L,SV,BS,ER,ADJ_ER,ERA,WHIP,AVG,SO,ADJ_SO,K/9,BB,ADJ_BB,BB/9,HR,HR/9
2012,Yu Darvish,TEX,25,29,29,29,191.1,191.1,3166,16,9,0,0,83,83,3.9,1.28,0.218,221,221,10.4,89,89,4.19,14,0.66
2013,Yu Darvish,TEX,26,32,32,32,209.2,209.2,3451,13,9,0,0,66,66,2.83,1.07,0.193,277,277,11.89,80,80,3.43,26,1.12
2014,Yu Darvish,TEX,27,22,22,22,144.1,144.1,2312,10,7,0,0,49,49,3.06,1.26,0.24,182,182,11.35,49,49,3.06,13,0.81
2016,Yu Darvish,TEX,29,17,17,17,100.1,100.1,1579,7,5,0,0,38,38,3.41,1.12,0.212,132,132,11.84,31,31,2.78,12,1.08
2017,Yu Darvish,- - -,30,31,31,31,186.2,186.2,3054,10,12,0,0,80,80,3.86,1.16,0.226,209,209,10.08,58,58,2.8,27,1.3
2018,Yu Darvish,CHC,31,8,8,8,40,40,740,1,3,0,0,22,22,4.95,1.43,0.232,49,49,11.03,21,21,4.73,7,1.58
2019,Yu Darvish,CHC,32,31,31,31,178.2,178.2,2848,6,8,0,0,79,79,3.98,1.1,0.211,229,229,11.54,56,56,2.82,33,1.66
2020,Yu Darvish,CHC,33,12,12,32.4,76,205.2,1153,8,3,0,0,17,45.9,2.01,0.96,0.21,93,251.1,11.01,14,37.8,1.66,5,0.59
2019,Adrian Morejon,SDP,20,2,2,2,8,8,154,0,0,0,0,9,9,10.13,2.25,0.385,9,9,10.13,3,3,3.38,1,1.13
2020,Adrian Morejon,SDP,21,4,4,10.8,19.1,51.57,322,2,2,0,0,10,27,4.66,1.24,0.267,25,67.5,11.64,4,10.8,1.86,7,3.26
