Season,League,League,G,RS,RA,OBP,SLG,BA,OOBP,OSLG,W,Playoffs
2015,HOU,NL,162,729,618,0.315,0.437,0.25,0.299,0.382,86,1
2015,KCR,AL,162,724,641,0.322,0.412,0.269,0.314,0.396,95,1
2015,LAA,AL,162,661,675,0.307,0.396,0.246,0.313,0.396,85,0
2015,LAD,NL,162,667,595,0.326,0.413,0.25,0.297,0.372,92,1
2015,MIA,NL,162,613,678,0.31,0.384,0.26,0.322,0.396,71,0
2015,MIL,NL,162,655,737,0.307,0.393,0.251,0.329,0.422,68,0
2015,MIN,AL,162,696,700,0.305,0.399,0.247,0.321,0.418,83,0
2015,NYM,NL,162,683,613,0.312,0.4,0.244,0.296,0.377,90,1
2015,NYY,AL,162,764,698,0.323,0.421,0.251,0.316,0.406,87,1
2015,OAK,AL,162,694,729,0.312,0.395,0.251,0.316,0.4,68,0
2015,PHI,NL,162,626,809,0.303,0.382,0.249,0.341,0.445,63,0
2015,PIT,NL,162,697,596,0.323,0.396,0.26,0.311,0.361,98,1
2015,SDP,NL,162,650,731,0.3,0.385,0.243,0.321,0.414,74,0
2015,SEA,AL,162,656,726,0.311,0.411,0.249,0.322,0.412,76,0
2015,SFG,NL,162,696,627,0.326,0.406,0.267,0.305,0.395,84,0
2015,STL,NL,162,647,525,0.321,0.394,0.253,0.31,0.366,100,1
2015,TBR,AL,162,644,642,0.314,0.406,0.252,0.304,0.385,80,0
2015,TEX,AL,162,751,733,0.325,0.413,0.257,0.328,0.419,88,1
2015,TOR,AL,162,891,670,0.34,0.457,0.269,0.304,0.403,93,1
2015,WSN,NL,162,703,635,0.321,0.403,0.251,0.301,0.384,83,0
2014,ARI,NL,162,615,742,0.302,0.376,0.248,0.326,0.414,64,0
2014,ATL,NL,162,573,597,0.305,0.36,0.241,0.312,0.37,79,0
2014,BAL,AL,162,705,593,0.311,0.422,0.256,0.308,0.382,96,1
2014,BOS,AL,162,634,715,0.316,0.369,0.244,0.321,0.409,71,0
2014,CHC,NL,162,614,707,0.3,0.385,0.239,0.318,0.376,73,0
2014,CHW,AL,162,660,758,0.31,0.398,0.253,0.337,0.401,73,0
2014,CIN,NL,162,595,612,0.296,0.365,0.238,0.309,0.383,76,0
2014,CLE,AL,162,669,653,0.317,0.389,0.253,0.312,0.385,85,0
2014,COL,NL,162,755,818,0.327,0.445,0.276,0.342,0.443,66,0
2014,DET,AL,162,757,705,0.331,0.426,0.277,0.321,0.401,90,1
2014,HOU,NL,162,629,723,0.309,0.383,0.242,0.323,0.396,70,0
2014,KCR,AL,162,651,624,0.314,0.376,0.263,0.31,0.377,89,1
2014,LAA,AL,162,773,630,0.322,0.406,0.259,0.305,0.351,98,1
2014,LAD,NL,162,718,617,0.333,0.406,0.265,0.3,0.376,94,1
2014,MIA,NL,162,645,674,0.317,0.378,0.253,0.323,0.39,77,0
2014,MIL,NL,162,650,657,0.311,0.397,0.25,0.307,0.393,82,0
2014,MIN,AL,162,715,777,0.324,0.389,0.254,0.33,0.428,70,0
2014,NYM,NL,162,629,618,0.308,0.364,0.239,0.315,0.382,79,0
2014,NYY,AL,162,633,664,0.307,0.38,0.245,0.305,0.395,84,0
2014,OAK,AL,162,729,572,0.32,0.381,0.244,0.29,0.356,88,1
2014,PHI,NL,162,619,687,0.302,0.363,0.242,0.321,0.387,73,0
2014,PIT,NL,162,682,631,0.33,0.404,0.259,0.318,0.371,88,1
2014,SDP,NL,162,535,577,0.292,0.342,0.226,0.304,0.362,77,0
2014,SEA,AL,162,634,554,0.3,0.376,0.244,0.295,0.356,87,0
2014,SFG,NL,162,665,614,0.311,0.388,0.255,0.297,0.382,88,1
2014,STL,NL,162,619,603,0.32,0.369,0.253,0.308,0.366,90,1
2014,TBR,AL,162,612,625,0.317,0.367,0.247,0.3,0.362,77,0
2014,TEX,AL,162,637,773,0.314,0.375,0.256,0.336,0.428,67,0
2014,TOR,AL,162,723,686,0.323,0.414,0.259,0.318,0.407,83,0
2014,WSN,NL,162,686,555,0.321,0.393,0.253,0.294,0.358,96,1
2013,ARI,NL,162,685,695,0.323,0.391,0.259,0.32,0.411,81,0
2013,ATL,NL,162,688,548,0.321,0.402,0.249,0.301,0.37,96,1
2013,BAL,AL,162,745,709,0.313,0.431,0.26,0.321,0.428,85,0
2013,BOS,AL,162,853,656,0.349,0.446,0.277,0.316,0.393,97,1
2013,CHC,NL,162,602,689,0.3,0.392,0.238,0.318,0.4,66,0
2013,CHW,AL,162,598,723,0.302,0.378,0.249,0.322,0.408,63,0
2013,CIN,NL,162,698,589,0.327,0.391,0.249,0.298,0.384,90,1
2013,CLE,AL,162,745,662,0.327,0.41,0.255,0.322,0.386,92,1
2013,COL,NL,162,706,760,0.323,0.418,0.27,0.34,0.423,74,0
2013,DET,AL,162,796,624,0.346,0.434,0.283,0.308,0.373,93,1
2013,HOU,NL,162,610,848,0.299,0.375,0.24,0.347,0.445,51,0
2013,KCR,AL,162,648,601,0.315,0.379,0.26,0.311,0.387,86,0
2013,LAA,AL,162,733,737,0.329,0.414,0.264,0.328,0.408,78,0
2013,LAD,NL,162,649,582,0.326,0.396,0.264,0.306,0.365,92,1
2013,MIA,NL,162,513,646,0.293,0.335,0.231,0.319,0.384,62,0
2013,MIL,NL,162,640,687,0.311,0.398,0.252,0.317,0.397,74,0
2013,MIN,AL,162,614,788,0.312,0.38,0.242,0.336,0.434,66,0
2013,NYM,NL,162,619,684,0.306,0.366,0.237,0.316,0.393,74,0
2013,NYY,AL,162,650,671,0.307,0.376,0.242,0.318,0.413,85,0
2013,OAK,AL,162,767,625,0.327,0.419,0.254,0.299,0.379,96,1
2013,PHI,NL,162,610,749,0.306,0.384,0.248,0.331,0.415,73,0
2013,PIT,NL,162,634,577,0.313,0.396,0.245,0.309,0.341,94,1
2013,SDP,NL,162,618,700,0.308,0.378,0.245,0.322,0.403,76,0
2013,SEA,AL,162,624,754,0.306,0.39,0.237,0.319,0.417,71,0
2013,SFG,NL,162,629,691,0.32,0.381,0.26,0.32,0.39,76,0
2013,STL,NL,162,783,596,0.332,0.401,0.269,0.311,0.368,97,1
2013,TBR,AL,162,700,646,0.329,0.408,0.257,0.305,0.381,92,1
2013,TEX,AL,162,730,636,0.323,0.412,0.262,0.313,0.387,91,0
2013,TOR,AL,162,712,756,0.318,0.411,0.252,0.324,0.426,74,0
2013,WSN,NL,162,656,626,0.313,0.398,0.251,0.305,0.379,86,0
2012,ARI,NL,162,734,688,0.328,0.418,0.259,0.317,0.415,81,0
2012,ATL,NL,162,700,600,0.32,0.389,0.247,0.306,0.378,94,1
2012,BAL,AL,162,712,705,0.311,0.417,0.247,0.315,0.403,93,1
2012,BOS,AL,162,734,806,0.315,0.415,0.26,0.331,0.428,69,0
2012,CHC,NL,162,613,759,0.302,0.378,0.24,0.335,0.424,61,0
2012,CHW,AL,162,748,676,0.318,0.422,0.255,0.319,0.405,85,0
2012,CIN,NL,162,669,588,0.315,0.411,0.251,0.305,0.39,97,1
2012,CLE,AL,162,667,845,0.324,0.381,0.251,0.336,0.43,68,0
2012,COL,NL,162,758,890,0.33,0.436,0.274,0.357,0.47,64,0
2012,DET,AL,162,726,670,0.335,0.422,0.268,0.314,0.402,88,1
2012,HOU,NL,162,583,794,0.302,0.371,0.236,0.337,0.427,55,0
2012,KCR,AL,162,676,746,0.317,0.4,0.265,0.339,0.423,72,0
2012,LAA,AL,162,767,699,0.332,0.433,0.274,0.31,0.403,89,0
2012,LAD,NL,162,637,597,0.317,0.374,0.252,0.31,0.364,86,0
2012,MIA,NL,162,609,724,0.308,0.382,0.244,0.327,0.399,69,0
2012,MIL,NL,162,776,733,0.325,0.437,0.259,0.326,0.414,83,0
2012,MIN,AL,162,701,832,0.325,0.39,0.26,0.333,0.442,66,0
2012,NYM,NL,162,650,709,0.316,0.386,0.249,0.315,0.401,74,0
2012,NYY,AL,162,804,668,0.337,0.453,0.265,0.311,0.419,95,1
2012,OAK,AL,162,713,614,0.31,0.404,0.238,0.306,0.378,94,1
2012,PHI,NL,162,684,680,0.317,0.4,0.255,0.306,0.407,81,0
2012,PIT,NL,162,651,674,0.304,0.395,0.243,0.314,0.39,79,0
2012,SDP,NL,162,651,710,0.319,0.38,0.247,0.319,0.398,76,0
2012,SEA,AL,162,619,651,0.296,0.369,0.234,0.308,0.394,75,0
2012,SFG,NL,162,718,649,0.327,0.397,0.269,0.313,0.393,94,1
2012,STL,NL,162,765,648,0.338,0.421,0.271,0.313,0.387,88,1
2012,TBR,AL,162,697,577,0.317,0.394,0.24,0.294,0.352,90,0
2012,TEX,AL,162,808,707,0.334,0.446,0.273,0.309,0.408,93,1
2012,TOR,AL,162,716,784,0.309,0.407,0.245,0.335,0.438,73,0
2012,WSN,NL,162,731,594,0.322,0.428,0.261,0.303,0.373,98,1
2011,ARI,NL,162,731,662,0.322,0.413,0.25,0.316,0.409,94,1
2011,ATL,NL,162,641,605,0.308,0.387,0.243,0.31,0.361,89,0
2011,BAL,AL,162,708,860,0.316,0.413,0.257,0.341,0.46,69,0
2011,BOS,AL,162,875,737,0.349,0.461,0.28,0.322,0.392,90,0
